Gender,Age,Education,EducationField,YearsAtCompany,Department,EnvironmentSatisfaction,JobLevel,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,Compensation
M,46.0,Some College,Medical,4.0,Marketing,Medium,Associate,8.0,Yes,Outstanding,16.0,2.0,3.0,2.0,0.0,2.0,4.1276,NY,31.0,Divorced,22.0,Full Option Plan,1
M,59.0,Masters,Human Resources,3.0,Marketing,High,VP to C-Level,9.0,No,Outstanding,30.0,3.0,3.0,2.0,2.0,2.0,5.9853,NY,43.0,Married,21.0,Full Option Plan,1
M,54.0,Bachelors,Human Resources,5.0,Marketing,Very High,Executive,2.0,Yes,Excellent,23.0,3.0,3.0,3.0,4.0,4.0,2.2375,NY,35.0,Single,12.0,No Option Plan,1
F,26.0,Below College,Life Sciences,8.0,Finance,High,Junior Associate,1.0,No,Outstanding,8.0,3.0,3.0,7.0,5.0,7.0,6.9875,NJ,29.0,Married,23.0,Full Option Plan,0
M,30.0,Bachelors,Human Resources,11.0,Finance,High,Associate,0.0,Yes,Excellent,12.0,2.0,1.0,9.0,4.0,7.0,9.1022,NY,46.0,Married,19.0,No Option Plan,1
F,59.0,Some College,Medical,2.0,Finance,Medium,Junior Associate,8.0,No,Excellent,7.0,2.0,2.0,2.0,2.0,2.0,2.7505,NY,45.0,Married,17.0,No Option Plan,0
M,31.0,Bachelors,Human Resources,2.0,Finance,Low,Associate,3.0,No,Excellent,9.0,1.0,3.0,2.0,1.0,0.0,5.1789,NY,32.0,Married,12.0,No Option Plan,1
M,42.0,Below College,Technical Degree,3.0,Finance,High,Junior Associate,0.0,Yes,Excellent,4.0,5.0,3.0,2.0,1.0,0.0,6.8516,NJ,43.0,Divorced,11.0,Full Option Plan,0
M,50.0,Bachelors,Medical,32.0,Marketing,Low,VP to C-Level,1.0,No,Excellent,32.0,2.0,3.0,5.0,10.0,7.0,9.5247,NJ,29.0,Married,11.0,Full Option Plan,1
F,44.0,Masters,Life Sciences,2.0,Marketing,Low,Associate,4.0,No,Excellent,10.0,1.0,4.0,2.0,0.0,2.0,8.0002,NY,43.0,Single,11.0,No Option Plan,1
F,54.0,Masters,Medical,9.0,Marketing,High,Manager,2.0,No,Excellent,16.0,1.0,4.0,7.0,7.0,1.0,2.7051,NY,29.0,Married,15.0,Full Option Plan,1
M,41.0,Masters,Human Resources,21.0,Marketing,Medium,VP to C-Level,3.0,No,Excellent,23.0,2.0,2.0,6.0,12.0,6.0,9.3994,NY,49.0,Divorced,15.0,Small Option Plan,1
F,41.0,Bachelors,Human Resources,22.0,Marketing,Very High,VP to C-Level,1.0,No,Excellent,22.0,3.0,3.0,7.0,2.0,10.0,4.4682,NY,34.0,Married,12.0,Full Option Plan,1
M,39.0,Bachelors,Human Resources,8.0,Finance,High,Associate,9.0,No,Excellent,12.0,3.0,1.0,3.0,3.0,6.0,8.1062,NJ,44.0,Married,15.0,Full Option Plan,1
F,36.0,Bachelors,Human Resources,5.0,Finance,High,Junior Associate,4.0,No,Excellent,8.0,2.0,3.0,2.0,0.0,4.0,2.2027,NY,25.0,Married,13.0,Full Option Plan,0
M,34.0,Some College,Human Resources,3.0,Finance,High,Junior Associate,0.0,No,Excellent,4.0,1.0,1.0,2.0,0.0,2.0,8.3175,NJ,28.0,Married,19.0,Full Option Plan,0
M,28.0,Some College,Medical,5.0,Finance,Medium,Junior Associate,1.0,No,Excellent,6.0,6.0,3.0,1.0,0.0,4.0,2.649,NY,45.0,Divorced,13.0,Full Option Plan,1
M,36.0,Bachelors,Life Sciences,5.0,Finance,Low,Junior Associate,0.0,No,Outstanding,6.0,3.0,3.0,4.0,0.0,3.0,7.6785,NY,42.0,Married,21.0,No Option Plan,0
M,39.0,Bachelors,Life Sciences,5.0,Human Resources,Very High,Associate,8.0,No,Excellent,13.0,2.0,3.0,4.0,0.0,4.0,7.6658,NY,36.0,Married,11.0,Large Option Plan,1
M,33.0,Some College,Human Resources,4.0,Human Resources,Very High,Junior Associate,3.0,Yes,Excellent,7.0,4.0,4.0,3.0,0.0,3.0,8.0988,NJ,25.0,Divorced,11.0,Full Option Plan,0
F,45.0,Masters,Medical,6.0,Human Resources,Medium,Junior Associate,1.0,No,Excellent,6.0,3.0,3.0,3.0,0.0,4.0,5.5856,NY,29.0,Single,16.0,No Option Plan,0
M,38.0,Bachelors,Human Resources,7.0,Human Resources,High,Junior Associate,1.0,No,Excellent,7.0,2.0,4.0,6.0,5.0,0.0,7.7361,NJ,41.0,Married,13.0,Full Option Plan,0
F,35.0,Masters,Technical Degree,5.0,Human Resources,High,Junior Associate,1.0,No,Excellent,6.0,2.0,1.0,4.0,1.0,4.0,5.1857,NJ,34.0,Single,17.0,No Option Plan,0
M,33.0,Bachelors,Human Resources,5.0,Operations,Medium,Junior Associate,1.0,No,Excellent,5.0,2.0,3.0,4.0,1.0,4.0,8.0495,NY,47.0,Married,13.0,Full Option Plan,0
M,42.0,Doctorate,Medical,4.0,Operations,Very High,Associate,7.0,No,Excellent,10.0,3.0,4.0,3.0,0.0,3.0,5.2945,NJ,50.0,Married,16.0,Full Option Plan,1
M,34.0,Bachelors,Life Sciences,10.0,Operations,High,Associate,4.0,No,Excellent,14.0,5.0,4.0,9.0,1.0,8.0,8.345,NY,44.0,Married,11.0,Large Option Plan,0
M,46.0,Some College,Life Sciences,7.0,Operations,Very High,Junior Associate,6.0,No,Excellent,10.0,3.0,4.0,6.0,5.0,7.0,5.4785,NY,23.0,Single,12.0,No Option Plan,0
M,56.0,Masters,Life Sciences,7.0,Operations,Very High,VP to C-Level,6.0,No,Excellent,36.0,4.0,3.0,3.0,7.0,7.0,6.5731,NJ,23.0,Single,14.0,No Option Plan,1
M,51.0,Bachelors,Life Sciences,33.0,Operations,High,Executive,1.0,Yes,Excellent,33.0,2.0,3.0,9.0,0.0,10.0,8.9588,NY,20.0,Divorced,11.0,Full Option Plan,1
